year,trading_days,mean_active_symbols,mean_covered_symbols,min_active_symbols,min_covered_symbols,coverage_ratio
2015,252,100.0,100.0,100,100,1.0
2016,252,100.0,100.0,100,100,1.0
2017,251,100.0,100.0,100,100,1.0
2018,251,100.0,100.0,100,100,1.0
2019,252,100.0,100.0,100,100,1.0
2020,253,100.0,100.0,100,100,1.0
2021,252,100.0,100.0,100,100,1.0
2022,251,100.0,100.0,100,100,1.0
2023,250,100.0,100.0,100,100,1.0
2024,252,100.0,100.0,100,100,1.0
2025,250,100.0,100.0,100,100,1.0
2026,103,100.0,100.0,100,100,1.0
