symbol,start,end
AAPL,2015-01-01,2026-06-01
ABBV,2015-01-01,2026-06-01
ABT,2015-01-01,2026-06-01
ACN,2015-01-01,2026-06-01
ADBE,2015-01-01,2026-06-01
ADP,2015-01-01,2026-06-01
AMAT,2015-01-01,2026-06-01
AMD,2015-01-01,2026-06-01
AMGN,2015-01-01,2026-06-01
AMT,2015-01-01,2026-06-01
AMZN,2015-01-01,2026-06-01
AVGO,2015-01-01,2026-06-01
AXP,2015-01-01,2026-06-01
BA,2015-01-01,2026-06-01
BAC,2015-01-01,2026-06-01
BKNG,2015-01-01,2026-06-01
BLK,2015-01-01,2026-06-01
BMY,2015-01-01,2026-06-01
C,2015-01-01,2026-06-01
CAT,2015-01-01,2026-06-01
CI,2015-01-01,2026-06-01
CMCSA,2015-01-01,2026-06-01
COP,2015-01-01,2026-06-01
COST,2015-01-01,2026-06-01
CRM,2015-01-01,2026-06-01
CSCO,2015-01-01,2026-06-01
CVS,2015-01-01,2026-06-01
CVX,2015-01-01,2026-06-01
DE,2015-01-01,2026-06-01
DIA,2015-01-01,2026-06-01
DIS,2015-01-01,2026-06-01
ELV,2015-01-01,2026-06-01
GE,2015-01-01,2026-06-01
GILD,2015-01-01,2026-06-01
GOOGL,2015-01-01,2026-06-01
GS,2015-01-01,2026-06-01
HD,2015-01-01,2026-06-01
HON,2015-01-01,2026-06-01
IBM,2015-01-01,2026-06-01
INTC,2015-01-01,2026-06-01
INTU,2015-01-01,2026-06-01
ISRG,2015-01-01,2026-06-01
IWM,2015-01-01,2026-06-01
JNJ,2015-01-01,2026-06-01
JPM,2015-01-01,2026-06-01
KO,2015-01-01,2026-06-01
LIN,2015-01-01,2026-06-01
LLY,2015-01-01,2026-06-01
LOW,2015-01-01,2026-06-01
LRCX,2015-01-01,2026-06-01
MA,2015-01-01,2026-06-01
MCD,2015-01-01,2026-06-01
MDLZ,2015-01-01,2026-06-01
MDT,2015-01-01,2026-06-01
META,2015-01-01,2026-06-01
MO,2015-01-01,2026-06-01
MRK,2015-01-01,2026-06-01
MSFT,2015-01-01,2026-06-01
NEE,2015-01-01,2026-06-01
NFLX,2015-01-01,2026-06-01
NKE,2015-01-01,2026-06-01
NOW,2015-01-01,2026-06-01
NVDA,2015-01-01,2026-06-01
ORCL,2015-01-01,2026-06-01
PEP,2015-01-01,2026-06-01
PFE,2015-01-01,2026-06-01
PG,2015-01-01,2026-06-01
PLD,2015-01-01,2026-06-01
PM,2015-01-01,2026-06-01
QCOM,2015-01-01,2026-06-01
QQQ,2015-01-01,2026-06-01
RTX,2015-01-01,2026-06-01
SBUX,2015-01-01,2026-06-01
SCHW,2015-01-01,2026-06-01
SMH,2015-01-01,2026-06-01
SO,2015-01-01,2026-06-01
SPY,2015-01-01,2026-06-01
SYK,2015-01-01,2026-06-01
T,2015-01-01,2026-06-01
TMO,2015-01-01,2026-06-01
TSLA,2015-01-01,2026-06-01
TXN,2015-01-01,2026-06-01
UNH,2015-01-01,2026-06-01
UPS,2015-01-01,2026-06-01
USB,2015-01-01,2026-06-01
V,2015-01-01,2026-06-01
VOO,2015-01-01,2026-06-01
VTI,2015-01-01,2026-06-01
VZ,2015-01-01,2026-06-01
WMT,2015-01-01,2026-06-01
XLB,2015-01-01,2026-06-01
XLE,2015-01-01,2026-06-01
XLF,2015-01-01,2026-06-01
XLI,2015-01-01,2026-06-01
XLK,2015-01-01,2026-06-01
XLP,2015-01-01,2026-06-01
XLU,2015-01-01,2026-06-01
XLV,2015-01-01,2026-06-01
XLY,2015-01-01,2026-06-01
XOM,2015-01-01,2026-06-01
