fold,decision_time,execution_time,active_symbols,active_symbol_count,mega_cap_symbol_count,mega_cap_symbols,benchmark_weight,active_weight,turnover_distance,execution_cost
2018,2018-04-04T13:30:00+00:00,2018-04-05T13:30:00+00:00,ADBE;CAT;NOW,3,0,,0.918918918918919,0.081081081081081,0.081081081081081,3.216014004158811
2018,2018-07-03T13:30:00+00:00,2018-07-05T13:30:00+00:00,AMD;NOW;TSLA,3,1,TSLA,0.918918918918919,0.081081081081081,0.054054054054054,2.206749360473974
2018,2018-10-02T13:30:00+00:00,2018-10-03T13:30:00+00:00,AAPL;NOW;NVDA,3,2,AAPL;NVDA,0.918918918918919,0.081081081081081,0.0708804992228213,3.1844068176450206
2019,2019-04-03T13:30:00+00:00,2019-04-04T13:30:00+00:00,AMAT;BMY;GE,3,0,,0.918918918918919,0.081081081081081,0.081081081081081,3.734864527844318
2019,2019-07-03T13:30:00+00:00,2019-07-05T13:30:00+00:00,AMD;SCHW;TMO,3,0,,0.918918918918919,0.081081081081081,0.081081081081081,3.8914512336232048
2019,2019-10-02T13:30:00+00:00,2019-10-03T13:30:00+00:00,CAT;CI;CVS,3,0,,0.918918918918919,0.081081081081081,0.081081081081081,3.763829157132731
2020,2020-04-02T13:30:00+00:00,2020-04-03T13:30:00+00:00,ELV;GE;LOW,3,0,,0.918918918918919,0.081081081081081,0.081081081081081,2.516080866348302
2020,2020-07-02T13:30:00+00:00,2020-07-06T13:30:00+00:00,AAPL;AMZN;MSFT,3,3,AAPL;AMZN;MSFT,0.918918918918919,0.081081081081081,0.0845268963639419,3.338338007058113
2020,2020-10-01T13:30:00+00:00,2020-10-02T13:30:00+00:00,AAPL;AMZN;TSLA,3,3,AAPL;AMZN;TSLA,0.918918918918919,0.081081081081081,0.0302510432996922,1.2622217717947697
2021,2021-04-06T13:30:00+00:00,2021-04-07T13:30:00+00:00,COP;DE;USB,3,0,,0.918918918918919,0.081081081081081,0.081081081081081,3.5821350108483694
2021,2021-07-06T13:30:00+00:00,2021-07-07T13:30:00+00:00,COP;NVDA;UPS,3,1,NVDA,0.918918918918919,0.081081081081081,0.0540540540540541,2.5504619977931235
2021,2021-10-04T13:30:00+00:00,2021-10-05T13:30:00+00:00,AMD;LLY;TSLA,3,2,LLY;TSLA,0.918918918918919,0.081081081081081,0.0818398319448216,3.847028036801759
2022,2022-04-04T13:30:00+00:00,2022-04-05T13:30:00+00:00,COP;CVX;XOM,3,0,,0.918918918918919,0.081081081081081,0.081081081081081,3.100884884184529
2022,2022-07-06T13:30:00+00:00,2022-07-07T13:30:00+00:00,COP;LRCX;META,3,1,META,0.918918918918919,0.081081081081081,0.0607527492953028,1.9876015086482963
2022,2022-10-04T13:30:00+00:00,2022-10-05T13:30:00+00:00,ADBE;AMD;META,3,1,META,0.918918918918919,0.081081081081081,0.0648035514520138,2.0779606770071046
2023,2023-04-04T13:30:00+00:00,2023-04-05T13:30:00+00:00,AMZN;META;SCHW,3,2,AMZN;META,0.918918918918919,0.081081081081081,0.081081081081081,3.4866122984466132
2023,2023-07-06T13:30:00+00:00,2023-07-07T13:30:00+00:00,AMZN;NVDA;TSLA,3,3,AMZN;NVDA;TSLA,0.918918918918919,0.081081081081081,0.0655427958600623,3.0818015810311383
2023,2023-10-04T13:30:00+00:00,2023-10-05T13:30:00+00:00,LLY;NVDA;SCHW,3,2,LLY;NVDA,0.918918918918919,0.081081081081081,0.0552504336376794,2.5259702341244537
2024,2024-04-03T13:30:00+00:00,2024-04-04T13:30:00+00:00,META;NVDA;TSLA,3,3,META;NVDA;TSLA,0.918918918918919,0.081081081081081,0.081081081081081,3.607445508494964
2024,2024-07-03T13:30:00+00:00,2024-07-05T13:30:00+00:00,GOOGL;NVDA;TSLA,3,3,GOOGL;NVDA;TSLA,0.918918918918919,0.081081081081081,0.0431013635539673,2.064217730191793
2024,2024-10-02T13:30:00+00:00,2024-10-03T13:30:00+00:00,BA;INTC;TSLA,3,1,TSLA,0.918918918918919,0.081081081081081,0.0552521272143318,2.709760971474988
2025,2025-04-04T13:30:00+00:00,2025-04-07T13:30:00+00:00,AMD;INTC;LRCX,3,0,,0.918918918918919,0.081081081081081,0.081081081081081,2.722104314327608
2025,2025-07-08T13:30:00+00:00,2025-07-09T13:30:00+00:00,AMAT;BLK;LRCX,3,0,,0.918918918918919,0.081081081081081,0.0699335998656798,3.05170876369929
2025,2025-10-06T13:30:00+00:00,2025-10-07T13:30:00+00:00,LRCX;QCOM;TMO,3,0,,0.918918918918919,0.081081081081081,0.0652130742496891,3.1201844621626296
2026,2026-04-06T13:30:00+00:00,2026-04-07T13:30:00+00:00,AMAT;INTC;LRCX,3,0,,0.918918918918919,0.081081081081081,0.081081081081081,3.1254752085604656
