symbol,selection_count,selection_share,target_weight_sum,target_weight_share,mean_target_weight,mean_rank,mean_label_excess,positive_label_excess_rate,fold_count,mega_cap_cohort,order_count,order_notional,order_cost
TSLA,10,0.09523809523809523,0.4999999999999998,0.09523809523809525,0.049999999999999975,1.6,0.07053155349052469,0.4,7,True,9,21896.853356836065,4.379370671367212
LRCX,8,0.0761904761904762,0.3999999999999999,0.07619047619047621,0.04999999999999999,1.875,0.11139444158503845,0.625,6,False,6,11394.84937976777,2.2789698759535537
NVDA,8,0.0761904761904762,0.3999999999999999,0.07619047619047621,0.04999999999999999,1.625,0.0598843636251959,0.375,6,True,8,19747.080155814132,3.949416031162827
AMD,8,0.0761904761904762,0.39999999999999947,0.07619047619047613,0.04999999999999993,2.25,0.08761750006609594,0.375,7,False,8,25775.850038236495,5.155170007647298
AMZN,6,0.05714285714285714,0.2999999999999997,0.05714285714285712,0.049999999999999954,2.3333333333333335,0.0162104861069629,0.6666666666666666,4,True,5,9171.013509093988,1.8342027018187972
AMAT,5,0.047619047619047616,0.24999999999999983,0.04761904761904761,0.04999999999999997,2.2,0.08333531311584393,0.8,4,False,5,15336.297555497491,3.067259511099498
INTC,5,0.047619047619047616,0.24999999999999978,0.0476190476190476,0.049999999999999954,1.8,-0.03359127628329177,0.2,3,False,4,10946.914479958923,2.189382895991785
NOW,4,0.0380952380952381,0.1999999999999999,0.0380952380952381,0.049999999999999975,2.0,0.0425592292016546,0.75,2,False,3,2812.9617264917106,0.5625923452983421
COP,4,0.0380952380952381,0.1999999999999999,0.0380952380952381,0.049999999999999975,1.75,0.14513569020526867,0.75,2,False,6,12723.283736203986,2.544656747240797
META,4,0.0380952380952381,0.19999999999999982,0.03809523809523808,0.049999999999999954,2.25,-0.0024073102270121965,0.25,3,True,6,15430.56922928219,3.086113845856438
AAPL,4,0.0380952380952381,0.1999999999999998,0.03809523809523808,0.04999999999999995,2.25,0.0516303700642204,0.5,2,True,3,6147.3921907573285,1.2294784381514654
ADBE,3,0.02857142857142857,0.1499999999999999,0.02857142857142857,0.04999999999999997,2.0,0.0952619175052994,0.6666666666666666,2,False,3,7704.059613130677,1.5408119226261352
GE,3,0.02857142857142857,0.1499999999999999,0.02857142857142857,0.04999999999999997,2.0,-0.0329475598657878,0.6666666666666666,3,False,4,10544.99312175627,2.108998624351254
SCHW,3,0.02857142857142857,0.1499999999999998,0.028571428571428546,0.04999999999999993,2.3333333333333335,-0.007341832837260799,0.3333333333333333,2,False,5,15443.467534829222,3.088693506965844
BA,3,0.02857142857142857,0.1499999999999998,0.028571428571428546,0.04999999999999993,2.6666666666666665,0.007773526530435633,0.3333333333333333,3,False,1,3313.753999404416,0.6627507998808831
CAT,2,0.01904761904761905,0.1,0.01904761904761906,0.05,1.0,-0.0550091392033419,0.0,2,False,3,8298.539257146593,1.6597078514293184
TMO,2,0.01904761904761905,0.1,0.01904761904761906,0.05,1.5,-0.02560141816219265,0.0,2,False,3,9459.358297249302,1.8918716594498604
LLY,2,0.01904761904761905,0.1,0.01904761904761906,0.05,2.0,0.0,0.0,2,True,2,6265.226513807606,1.2530453027615214
GOOGL,2,0.01904761904761905,0.1,0.01904761904761906,0.05,2.5,-0.0821155429079317,0.0,2,True,2,6102.203791049105,1.2204407582098211
CVS,2,0.01904761904761905,0.0999999999999999,0.01904761904761904,0.04999999999999995,2.0,0.25553468288592845,0.5,2,False,1,3136.524297610609,0.6273048595221219
USB,2,0.01904761904761905,0.0999999999999999,0.01904761904761904,0.04999999999999995,2.0,-0.08325372670059039,0.0,2,False,2,5947.903331307563,1.189580666261513
CVX,2,0.01904761904761905,0.0999999999999998,0.019047619047619018,0.0499999999999999,3.0,0.00871351845448785,0.5,2,False,2,4858.9039810547165,0.9717807962109432
MO,1,0.009523809523809525,0.05,0.00952380952380953,0.05,1.0,-0.0333659605809806,0.0,1,False,0,0.0,0.0
PM,1,0.009523809523809525,0.05,0.00952380952380953,0.05,2.0,0.1113262716531753,1.0,1,False,0,0.0,0.0
BMY,1,0.009523809523809525,0.05,0.00952380952380953,0.05,2.0,-0.03881295200788,0.0,1,False,2,6244.845900222457,1.2489691800444915
CI,1,0.009523809523809525,0.05,0.00952380952380953,0.05,2.0,0.0,0.0,1,False,1,3136.524297610611,0.6273048595221222
ELV,1,0.009523809523809525,0.05,0.00952380952380953,0.05,2.0,0.0245490713069609,1.0,1,False,2,4829.158388718787,0.9658316777437573
MSFT,1,0.009523809523809525,0.05,0.00952380952380953,0.05,2.0,-0.0476988895960321,0.0,1,True,2,5332.80711081508,1.0665614221630162
DE,1,0.009523809523809525,0.05,0.00952380952380953,0.05,1.0,-0.1378722266984241,0.0,1,False,2,5759.833791164726,1.1519667582329451
UPS,1,0.009523809523809525,0.05,0.00952380952380953,0.05,2.0,-0.1559396061950521,0.0,1,False,2,5895.012024202888,1.1790024048405776
XOM,1,0.009523809523809525,0.05,0.00952380952380953,0.05,2.0,0.1757156800143088,1.0,1,False,2,5253.301408995326,1.0506602817990651
BLK,1,0.009523809523809525,0.05,0.00952380952380953,0.05,1.0,0.0142144664793302,1.0,1,False,2,6183.045304308683,1.2366090608617364
T,1,0.009523809523809525,0.0499999999999999,0.009523809523809509,0.0499999999999999,3.0,-0.0499806877931806,0.0,1,False,0,0.0,0.0
LOW,1,0.009523809523809525,0.0499999999999999,0.009523809523809509,0.0499999999999999,3.0,0.2839582493109479,1.0,1,False,2,5625.280124463058,1.1250560248926116
QCOM,1,0.009523809523809525,0.0499999999999999,0.009523809523809509,0.0499999999999999,3.0,0.0,0.0,1,False,1,3232.8375390377028,0.6465675078075406
