date,active_symbols,covered_symbols,missing_symbols,coverage_ratio
2015-01-02,499,77,422,0.15430861723446893
2015-01-05,499,77,422,0.15430861723446893
2015-01-06,499,77,422,0.15430861723446893
2015-01-07,499,77,422,0.15430861723446893
2015-01-08,499,77,422,0.15430861723446893
2015-01-09,499,77,422,0.15430861723446893
2015-01-12,499,77,422,0.15430861723446893
2015-01-13,499,77,422,0.15430861723446893
2015-01-14,499,77,422,0.15430861723446893
2015-01-15,499,77,422,0.15430861723446893
2015-01-16,499,77,422,0.15430861723446893
2015-01-20,499,77,422,0.15430861723446893
2015-01-21,499,77,422,0.15430861723446893
2015-01-22,499,77,422,0.15430861723446893
2015-01-23,499,77,422,0.15430861723446893
2015-01-26,499,77,422,0.15430861723446893
2015-01-27,501,77,424,0.1536926147704591
2015-01-28,499,77,422,0.15430861723446893
2015-01-29,499,77,422,0.15430861723446893
2015-01-30,499,77,422,0.15430861723446893
2015-02-02,499,77,422,0.15430861723446893
2015-02-03,499,77,422,0.15430861723446893
2015-02-04,499,77,422,0.15430861723446893
2015-02-05,499,77,422,0.15430861723446893
2015-02-06,499,77,422,0.15430861723446893
2015-02-09,499,77,422,0.15430861723446893
2015-02-10,499,77,422,0.15430861723446893
2015-02-11,499,77,422,0.15430861723446893
2015-02-12,499,77,422,0.15430861723446893
2015-02-13,499,77,422,0.15430861723446893
2015-02-17,499,77,422,0.15430861723446893
2015-02-18,499,77,422,0.15430861723446893
2015-02-19,499,77,422,0.15430861723446893
2015-02-20,499,77,422,0.15430861723446893
2015-02-23,499,77,422,0.15430861723446893
2015-02-24,499,77,422,0.15430861723446893
2015-02-25,499,77,422,0.15430861723446893
2015-02-26,499,77,422,0.15430861723446893
2015-02-27,499,77,422,0.15430861723446893
2015-03-02,499,77,422,0.15430861723446893
2015-03-03,499,77,422,0.15430861723446893
2015-03-04,499,77,422,0.15430861723446893
2015-03-05,499,77,422,0.15430861723446893
2015-03-06,499,77,422,0.15430861723446893
2015-03-09,499,77,422,0.15430861723446893
2015-03-10,499,77,422,0.15430861723446893
2015-03-11,499,77,422,0.15430861723446893
2015-03-12,500,77,423,0.154
2015-03-13,499,77,422,0.15430861723446893
2015-03-16,499,77,422,0.15430861723446893
2015-03-17,499,77,422,0.15430861723446893
2015-03-18,499,77,422,0.15430861723446893
2015-03-19,499,77,422,0.15430861723446893
2015-03-20,499,77,422,0.15430861723446893
2015-03-23,503,77,426,0.15308151093439365
2015-03-24,500,77,423,0.154
2015-03-25,500,77,423,0.154
2015-03-26,500,77,423,0.154
2015-03-27,500,77,423,0.154
2015-03-30,500,77,423,0.154
2015-03-31,500,77,423,0.154
2015-04-01,500,77,423,0.154
2015-04-02,500,77,423,0.154
2015-04-06,500,77,423,0.154
2015-04-07,501,77,424,0.1536926147704591
2015-04-08,500,77,423,0.154
2015-04-09,500,77,423,0.154
2015-04-10,500,77,423,0.154
2015-04-13,500,77,423,0.154
2015-04-14,500,77,423,0.154
2015-04-15,500,77,423,0.154
2015-04-16,500,77,423,0.154
2015-04-17,500,77,423,0.154
2015-04-20,500,77,423,0.154
2015-04-21,500,77,423,0.154
2015-04-22,500,77,423,0.154
2015-04-23,500,77,423,0.154
2015-04-24,500,77,423,0.154
2015-04-27,500,77,423,0.154
2015-04-28,500,77,423,0.154
2015-04-29,500,77,423,0.154
2015-04-30,500,77,423,0.154
2015-05-01,500,77,423,0.154
2015-05-04,500,77,423,0.154
2015-05-05,500,77,423,0.154
2015-05-06,500,77,423,0.154
2015-05-07,500,77,423,0.154
2015-05-08,500,77,423,0.154
2015-05-11,500,77,423,0.154
2015-05-12,500,77,423,0.154
2015-05-13,500,77,423,0.154
2015-05-14,500,77,423,0.154
2015-05-15,500,77,423,0.154
2015-05-18,500,77,423,0.154
2015-05-19,500,77,423,0.154
2015-05-20,500,77,423,0.154
2015-05-21,500,77,423,0.154
2015-05-22,500,77,423,0.154
2015-05-26,500,77,423,0.154
2015-05-27,500,77,423,0.154
2015-05-28,500,77,423,0.154
2015-05-29,500,77,423,0.154
2015-06-01,500,77,423,0.154
2015-06-02,500,77,423,0.154
2015-06-03,500,77,423,0.154
2015-06-04,500,77,423,0.154
2015-06-05,500,77,423,0.154
2015-06-08,500,77,423,0.154
2015-06-09,500,77,423,0.154
2015-06-10,500,77,423,0.154
2015-06-11,500,77,423,0.154
2015-06-12,501,77,424,0.1536926147704591
2015-06-15,500,77,423,0.154
2015-06-16,500,77,423,0.154
2015-06-17,500,77,423,0.154
2015-06-18,500,77,423,0.154
2015-06-19,500,77,423,0.154
2015-06-22,500,77,423,0.154
2015-06-23,500,77,423,0.154
2015-06-24,500,77,423,0.154
2015-06-25,500,77,423,0.154
2015-06-26,500,77,423,0.154
2015-06-29,500,77,423,0.154
2015-06-30,500,77,423,0.154
2015-07-01,501,77,424,0.1536926147704591
2015-07-02,502,77,425,0.15338645418326693
2015-07-06,501,77,424,0.1536926147704591
2015-07-07,500,77,423,0.154
2015-07-08,499,77,422,0.15430861723446893
2015-07-09,500,77,423,0.154
2015-07-10,500,77,423,0.154
2015-07-13,500,77,423,0.154
2015-07-14,500,77,423,0.154
2015-07-15,500,77,423,0.154
2015-07-16,500,77,423,0.154
2015-07-17,500,77,423,0.154
2015-07-20,501,77,424,0.1536926147704591
2015-07-21,500,77,423,0.154
2015-07-22,500,77,423,0.154
2015-07-23,500,77,423,0.154
2015-07-24,500,77,423,0.154
2015-07-27,500,77,423,0.154
2015-07-28,499,77,422,0.15430861723446893
2015-07-29,500,77,423,0.154
2015-07-30,500,77,423,0.154
2015-07-31,500,77,423,0.154
2015-08-03,500,77,423,0.154
2015-08-04,500,77,423,0.154
2015-08-05,500,77,423,0.154
2015-08-06,500,77,423,0.154
2015-08-07,500,77,423,0.154
2015-08-10,500,77,423,0.154
2015-08-11,500,77,423,0.154
2015-08-12,500,77,423,0.154
2015-08-13,500,77,423,0.154
2015-08-14,500,77,423,0.154
2015-08-17,500,77,423,0.154
2015-08-18,500,77,423,0.154
2015-08-19,500,77,423,0.154
2015-08-20,500,77,423,0.154
2015-08-21,500,77,423,0.154
2015-08-24,500,77,423,0.154
2015-08-25,500,77,423,0.154
2015-08-26,500,77,423,0.154
2015-08-27,500,77,423,0.154
2015-08-28,500,77,423,0.154
2015-08-31,501,77,424,0.1536926147704591
2015-09-01,500,77,423,0.154
2015-09-02,500,77,423,0.154
2015-09-03,501,77,424,0.1536926147704591
2015-09-04,500,77,423,0.154
2015-09-08,500,77,423,0.154
2015-09-09,500,77,423,0.154
2015-09-10,500,77,423,0.154
2015-09-11,500,77,423,0.154
2015-09-14,500,77,423,0.154
2015-09-15,500,77,423,0.154
2015-09-16,500,77,423,0.154
2015-09-17,500,77,423,0.154
2015-09-18,500,77,423,0.154
2015-09-21,503,77,426,0.15308151093439365
2015-09-22,503,77,426,0.15308151093439365
2015-09-23,503,77,426,0.15308151093439365
2015-09-24,503,77,426,0.15308151093439365
2015-09-25,503,77,426,0.15308151093439365
2015-09-28,503,77,426,0.15308151093439365
2015-09-29,503,77,426,0.15308151093439365
2015-09-30,503,77,426,0.15308151093439365
2015-10-01,503,77,426,0.15308151093439365
2015-10-02,503,77,426,0.15308151093439365
2015-10-05,503,77,426,0.15308151093439365
2015-10-06,503,77,426,0.15308151093439365
2015-10-07,503,77,426,0.15308151093439365
2015-10-08,504,77,427,0.1527777777777778
2015-10-09,503,77,426,0.15308151093439365
2015-10-12,503,77,426,0.15308151093439365
2015-10-13,503,77,426,0.15308151093439365
2015-10-14,503,77,426,0.15308151093439365
2015-10-15,503,77,426,0.15308151093439365
2015-10-16,503,77,426,0.15308151093439365
2015-10-19,503,77,426,0.15308151093439365
2015-10-20,503,77,426,0.15308151093439365
2015-10-21,503,77,426,0.15308151093439365
2015-10-22,503,77,426,0.15308151093439365
2015-10-23,503,77,426,0.15308151093439365
2015-10-26,503,77,426,0.15308151093439365
2015-10-27,503,77,426,0.15308151093439365
2015-10-28,503,77,426,0.15308151093439365
2015-10-29,503,77,426,0.15308151093439365
2015-10-30,503,77,426,0.15308151093439365
2015-11-02,504,77,427,0.1527777777777778
2015-11-03,503,77,426,0.15308151093439365
2015-11-04,503,77,426,0.15308151093439365
2015-11-05,503,77,426,0.15308151093439365
2015-11-06,503,77,426,0.15308151093439365
2015-11-09,503,77,426,0.15308151093439365
2015-11-10,504,77,427,0.1527777777777778
2015-11-11,504,77,427,0.1527777777777778
2015-11-12,504,77,427,0.1527777777777778
2015-11-13,504,77,427,0.1527777777777778
2015-11-16,504,77,427,0.1527777777777778
