year,trading_days,mean_active_symbols,mean_covered_symbols,min_active_symbols,min_covered_symbols,coverage_ratio
2015,252,500.6904761904762,77.0,499,77,0.1537876266108707
2016,252,505.48809523809524,77.0,504,77,0.15232801865241044
2017,251,506.0677290836653,77.79282868525897,505,77,0.1537201924060997
2018,251,505.7410358565737,78.14741035856574,503,78,0.15452060406015394
2019,252,505.1111111111111,79.10714285714286,505,79,0.15661334925523224
2020,253,505.0869565217391,80.77865612648222,505,80,0.15993019634235095
2021,252,505.0833333333333,82.0,505,82,0.1623494472859264
2022,251,503.82868525896413,83.08366533864542,503,82,0.16490459509255817
2023,250,503.076,84.0,503,84,0.16697278343629987
2024,252,503.0833333333333,84.0,503,84,0.1669703495113467
2025,250,503.092,84.0,503,84,0.16696747314606475
2026,103,503.00970873786406,84.0,503,84,0.1669947886508396
