year,trading_days,mean_active_symbols,mean_covered_symbols,min_active_symbols,min_covered_symbols,coverage_ratio
2015,252,466.515873015873,77.0,461,77,0.165053333560164
2016,252,479.0833333333333,77.0,471,77,0.16072360410506176
2017,251,488.80876494023903,77.79282868525897,483,77,0.15914777775060926
2018,251,494.7250996015936,78.14741035856574,491,78,0.15796128076278831
2019,252,496.22222222222223,79.10714285714286,495,79,0.15941878318725608
2020,253,499.29644268774706,80.77865612648222,498,80,0.16178496223935657
2021,252,499.64285714285717,82.0,497,82,0.16411722659042172
2022,251,497.62549800796813,83.08366533864542,496,82,0.166960225453148
2023,250,500.604,84.0,496,84,0.16779730086056044
2024,252,502.97222222222223,84.0,502,84,0.167007234771083
2025,250,502.972,84.0,502,84,0.16700730855793167
2026,103,503.0,84.0,503,84,0.16699801192842942
