strategy,trade_number,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl,return_pct
regime_1_1,1,2021-06-04T12:00:00+08:00,2022-06-03T12:00:00+08:00,386.810000,379.080000,258.52485717,100000.00,98001.60,-1998.40,-0.01998397
regime_1_1,2,2023-04-24T12:00:00+08:00,2023-04-26T12:00:00+08:00,378.490000,373.650000,258.92785240,98001.60,96748.39,-1253.21,-0.01278766
regime_1_1,3,2023-05-15T12:00:00+08:00,2024-08-05T12:00:00+08:00,378.730000,470.155000,255.45478850,96748.39,120103.35,23354.95,0.24139889
regime_1_1,4,2024-10-25T12:00:00+08:00,2024-11-01T12:00:00+08:00,535.485000,524.710000,224.28890835,120103.35,117686.63,-2416.71,-0.02012195
regime_1_1,5,2024-11-21T13:00:00+08:00,2024-11-27T13:00:00+08:00,545.550000,551.760000,215.72107616,117686.63,119026.26,1339.63,0.01138301
regime_1_1,6,2024-11-29T13:00:00+08:00,2024-12-19T13:00:00+08:00,551.170000,543.600000,215.95199482,119026.26,117391.50,-1634.76,-0.01373442
regime_1_1,7,2025-07-02T12:00:00+08:00,2026-04-09T12:00:00+08:00,567.410000,620.630000,206.89008721,117391.50,128402.19,11010.69,0.09379461
regime_1_1,8,2026-05-22T12:00:00+08:00,2026-06-15T12:00:00+08:00,685.930000,693.990000,187.19431257,128402.19,129910.98,1508.79,0.01175047
regime_2_3,1,2021-06-04T12:00:00+08:00,2022-06-06T12:00:00+08:00,386.810000,381.250000,258.52485717,100000.00,98562.60,-1437.40,-0.01437398
regime_2_3,2,2023-05-17T12:00:00+08:00,2024-08-06T12:00:00+08:00,378.830000,477.245000,260.17633713,98562.60,124167.86,25605.25,0.25978671
regime_2_3,3,2024-10-29T12:00:00+08:00,2024-11-04T13:00:00+08:00,532.950000,525.030000,232.98218597,124167.86,122322.64,-1845.22,-0.01486068
regime_2_3,4,2024-11-25T13:00:00+08:00,2024-12-20T13:00:00+08:00,551.585000,536.615000,221.76570628,122322.64,119002.80,-3319.83,-0.02713997
regime_2_3,5,2025-07-07T12:00:00+08:00,2026-04-10T12:00:00+08:00,573.000000,626.590000,207.68377745,119002.80,130132.58,11129.77,0.09352531
regime_2_3,6,2026-05-27T12:00:00+08:00,2026-06-15T12:00:00+08:00,690.380000,693.990000,188.49413093,130132.58,130813.04,680.46,0.00522900
prob55_40_2_3,1,2021-06-04T12:00:00+08:00,2022-06-06T12:00:00+08:00,386.810000,381.250000,258.52485717,100000.00,98562.60,-1437.40,-0.01437398
prob55_40_2_3,2,2023-05-17T12:00:00+08:00,2024-08-06T12:00:00+08:00,378.830000,477.245000,260.17633713,98562.60,124167.86,25605.25,0.25978671
prob55_40_2_3,3,2024-10-29T12:00:00+08:00,2024-11-04T13:00:00+08:00,532.950000,525.030000,232.98218597,124167.86,122322.64,-1845.22,-0.01486068
prob55_40_2_3,4,2024-11-25T13:00:00+08:00,2024-12-23T13:00:00+08:00,551.585000,544.025000,221.76570628,122322.64,120646.09,-1676.55,-0.01370596
prob55_40_2_3,5,2025-07-07T12:00:00+08:00,2026-04-10T12:00:00+08:00,573.000000,626.590000,210.55163763,120646.09,131929.55,11283.46,0.09352531
prob55_40_2_3,6,2026-05-27T12:00:00+08:00,2026-06-15T12:00:00+08:00,690.380000,693.990000,191.09700545,131929.55,132619.41,689.86,0.00522900
prob45_30_2_3,1,2021-06-04T12:00:00+08:00,2022-06-06T12:00:00+08:00,386.810000,381.250000,258.52485717,100000.00,98562.60,-1437.40,-0.01437398
prob45_30_2_3,2,2023-05-18T12:00:00+08:00,2024-08-06T12:00:00+08:00,381.310000,477.245000,258.48417769,98562.60,123360.28,24797.68,0.25159319
prob45_30_2_3,3,2024-10-30T12:00:00+08:00,2024-11-04T13:00:00+08:00,534.370000,525.030000,230.85180938,123360.28,121204.13,-2156.16,-0.01747853
prob45_30_2_3,4,2024-12-03T13:00:00+08:00,2024-12-20T13:00:00+08:00,555.010000,536.615000,218.38187687,121204.13,117186.99,-4017.13,-0.03314355
prob45_30_2_3,5,2025-07-07T12:00:00+08:00,2026-04-10T12:00:00+08:00,573.000000,626.590000,204.51481825,117186.99,128146.94,10959.95,0.09352531
prob45_30_2_3,6,2026-05-27T12:00:00+08:00,2026-06-15T12:00:00+08:00,690.380000,693.990000,185.61797846,128146.94,128817.02,670.08,0.00522900
lowvol_reentry_2_3,1,2021-06-04T12:00:00+08:00,2022-06-06T12:00:00+08:00,386.810000,381.250000,258.52485717,100000.00,98562.60,-1437.40,-0.01437398
lowvol_reentry_2_3,2,2023-05-23T12:00:00+08:00,2024-08-06T12:00:00+08:00,383.200000,477.245000,257.20929487,98562.60,122751.85,24189.25,0.24542015
lowvol_reentry_2_3,3,2024-12-05T13:00:00+08:00,2024-12-23T13:00:00+08:00,558.700000,544.025000,219.70977256,122751.85,119527.61,-3224.24,-0.02626633
lowvol_reentry_2_3,4,2025-07-08T12:00:00+08:00,2026-04-10T12:00:00+08:00,571.035000,626.590000,209.31748320,119527.61,131156.24,11628.63,0.09728826
lowvol_reentry_2_3,5,2026-05-28T12:00:00+08:00,2026-06-15T12:00:00+08:00,689.760000,693.990000,190.14764816,131156.24,131960.57,804.32,0.00613257
regime_sma200_1_3,1,2021-06-04T12:00:00+08:00,2022-06-03T12:00:00+08:00,386.810000,379.080000,258.52485717,100000.00,98001.60,-1998.40,-0.01998397
regime_sma200_1_3,2,2023-05-17T12:00:00+08:00,2025-03-11T12:00:00+08:00,378.830000,514.340000,258.69546460,98001.60,133057.43,35055.82,0.35770662
regime_sma200_1_3,3,2025-07-07T12:00:00+08:00,2026-06-15T12:00:00+08:00,573.000000,693.990000,232.21191145,133057.43,161152.74,28095.32,0.21115183
prob55_sma200_2_3,1,2021-06-04T12:00:00+08:00,2022-06-06T12:00:00+08:00,386.810000,381.250000,258.52485717,100000.00,98562.60,-1437.40,-0.01437398
prob55_sma200_2_3,2,2023-05-17T12:00:00+08:00,2025-03-12T12:00:00+08:00,378.830000,516.890000,260.17633713,98562.60,134482.55,35919.95,0.36443787
prob55_sma200_2_3,3,2025-07-07T12:00:00+08:00,2026-06-15T12:00:00+08:00,573.000000,693.990000,234.69903473,134482.55,162878.78,28396.24,0.21115183
prob55_trend50_2_3,1,2021-06-04T12:00:00+08:00,2022-06-06T12:00:00+08:00,386.810000,381.250000,258.52485717,100000.00,98562.60,-1437.40,-0.01437398
prob55_trend50_2_3,2,2023-05-17T12:00:00+08:00,2024-08-07T12:00:00+08:00,378.830000,485.760000,260.17633713,98562.60,126383.26,27820.66,0.28226381
prob55_trend50_2_3,3,2024-10-29T12:00:00+08:00,2025-01-14T13:00:00+08:00,532.950000,537.295000,237.13905155,126383.26,127413.63,1030.37,0.00815273
prob55_trend50_2_3,4,2025-07-07T12:00:00+08:00,2026-04-10T12:00:00+08:00,573.000000,626.590000,222.36235027,127413.63,139330.03,11916.40,0.09352531
prob55_trend50_2_3,5,2026-05-27T12:00:00+08:00,2026-06-15T12:00:00+08:00,690.380000,693.990000,201.81642726,139330.03,140058.58,728.56,0.00522900
