feature,gain,split
beta_63,580.0302982330322,3
log_ret_252,467.76440238952637,7
vol_63,341.71879482269287,7
excess_log_ret_63,92.77429962158203,1
corr_63,83.32939910888672,2
ma_50_200,73.91380214691162,3
vol_20,30.56279945373535,1
excess_log_ret_126,19.290000915527344,1
distance_to_63d_low,17.487899780273438,1
log_ret_126,17.474000930786133,1
residual_log_ret_63,10.548199653625488,1
log_ret_1,0.0,0
log_ret_5,0.0,0
log_ret_10,0.0,0
log_ret_21,0.0,0
log_ret_63,0.0,0
excess_log_ret_5,0.0,0
excess_log_ret_21,0.0,0
downside_vol_20,0.0,0
return_to_vol_21,0.0,0
return_to_vol_63,0.0,0
residual_log_ret_21,0.0,0
distance_to_63d_high,0.0,0
ma_20_50,0.0,0
volume_z_20,0.0,0
dollar_volume_z_20,0.0,0
amihud_20,0.0,0
gap_pct,0.0,0
intraday_ret,0.0,0
benchmark_log_ret_21,0.0,0
benchmark_vol_20,0.0,0
